date,sell_quantity,sell_value,buy_quantity,buy_value,daily_balance,inventory,avg_temperature,precipitation,incc,fuel_price,is_holiday,no_sales,price_margin,rolling_mean_sell_value,rolling_mean_buy_value,rolling_std_sell_value,sell_quantity_lag_1,sell_quantity_lag_7,inventory_lag_1,avg_inventory_rolling,inventory_turnover,avg_sell_quantity_last_7d,sell_value_pct_change,buy_value_pct_change,is_moderate_rain,is_heavy_rain,precip_bin,temperature_bin,month,is_weekend,quarter,days_until_holiday,fuel_price_lag_30,fuel_price_lag_60,rolling_mean_fuel_price,fuel_price_pct_change,fuel_price_vs_buy_value,incc_lag_month,incc_lag_2_month,incc_monthly_change,sell_value_pct_vs_incc,sell_quantity_log,temperature_bin_encoded,preciptation_bin_encoded
2024-01-01,0.0,,0.0,,0,175,24.9,0.1,0.0027,6.04,1,1,,,,,,,,,,,,,0,0,no rain,optimal,1,False,1,0.0,,,6.04,0.0,,,,,,0.0,1,0
2024-01-02,163.0,32.1,280.0,28.97,117,292,25.0,0.2,0.0027,6.04,0,0,1.1080428028995513,32.1,28.97,,0.0,,175.0,,0.9314285661061225,,,,0,0,light,optimal,1,False,1,87.0,,,6.04,0.0,,,,,,5.099866427824199,1,1
2024-01-03,215.0,31.13,0.0,28.97,-215,77,24.8,4.9,0.0027,6.04,0,0,1.0745598895409043,31.615000000000002,28.97,,163.0,,292.0,,0.7363013673414337,,-0.03021806853582565,0.0,1,0,moderate,optimal,1,False,1,86.0,,,6.04,0.0,0.0,,,,-0.03291806853582565,5.375278407684165,1,2
2024-01-04,0.0,,240.0,28.43,240,317,24.8,0.0,0.0027,6.04,0,1,,31.615000000000002,28.790000000000003,,215.0,,77.0,,0.0,,0.0,-0.018639972385226078,0,0,no rain,optimal,1,False,1,85.0,,,6.04,0.0,0.018639972385226078,,,,-0.0027,0.0,1,0
2024-01-05,55.0,35.5,240.0,28.43,185,502,25.1,0.0,0.0027,6.04,0,0,1.2486809708054871,33.315,28.61,,0.0,,317.0,,0.17350157673974267,,0.1403790555734019,0.0,0,0,no rain,high,1,False,1,84.0,,,6.04,0.0,0.0,,,,0.1376790555734019,4.02535169073515,2,0
2024-01-06,2.0,33.5,0.0,28.43,-2,500,26.4,0.0,0.0027,6.04,0,0,1.1783327470981357,34.5,28.43,,55.0,,502.0,,0.003984063737083539,,-0.05633802816901412,0.0,0,0,no rain,high,1,True,1,83.0,,,6.04,0.0,0.0,,,,-0.05903802816901412,1.0986122886681098,2,0
2024-01-07,0.0,,0.0,28.43,0,500,27.5,2.1,0.0027,6.05,0,1,,34.5,28.43,,2.0,,500.0,337.57142857142856,0.0,62.142857142857146,0.0,0.0,0,0,light,high,1,True,1,82.0,,,6.043333333333333,0.0016556291390728006,0.0016556291390728006,,,,-0.0027,0.0,2,1
2024-01-08,129.0,34.53,0.0,28.43,-129,371,27.0,0.0,0.0027,6.05,0,0,1.2145620823074217,34.015,28.43,,0.0,0.0,500.0,365.57142857142856,0.257999999484,80.57142857142857,0.03074626865671637,0.0,0,0,no rain,high,1,False,1,81.0,,,6.046666666666667,0.0,0.0,,,,0.028046268656716368,4.867534450455582,2,0
2024-01-09,84.0,35.29,240.0,28.43,156,527,26.8,11.3,0.0027,6.05,0,0,1.2412944073162153,34.910000000000004,28.43,,129.0,163.0,371.0,399.14285714285717,0.22641509372933938,69.28571428571429,0.022009846510280928,0.0,0,1,heavy,high,1,False,1,80.0,,,6.05,0.0,0.0,,,,0.019309846510280927,4.442651256490317,2,3
2024-01-10,142.0,34.92,0.0,28.43,-142,385,25.4,1.7,0.0027,6.05,0,0,1.2282799859303553,34.913333333333334,28.43,0.3800438571182807,84.0,215.0,527.0,443.14285714285717,0.2694497148587292,58.857142857142854,-0.010484556531595302,0.0,0,0,light,high,1,False,1,79.0,,,6.05,0.0,0.0,,,,-0.013184556531595303,4.962844630259907,2,1
