sell_value,sell_quantity_lag_7,rolling_std_sell_value,daily_balance,inventory_turnover,buy_quantity,inventory_lag_1,precipitation,incc_monthly_change,fuel_price_vs_buy_value,is_weekend,days_until_holiday,month,turnover_bin,lag_7_bin,sell_quantity_log
,,,0,,0.0,,0.1,,,False,0.0,1,0,0,0.0
32.1,,,117,0.9314285661061223,280.0,175.0,0.2,,,False,87.0,1,3,0,5.099866427824199
31.13,,,-215,0.7363013673414337,0.0,292.0,4.9,,0.0,False,86.0,1,3,0,5.375278407684165
,,,240,0.0,240.0,77.0,0.0,,0.018639972385226,False,85.0,1,0,0,0.0
35.5,,,185,0.1735015767397426,240.0,317.0,0.0,,0.0,False,84.0,1,2,0,4.02535169073515
33.5,,,-2,0.0039840637370835,0.0,502.0,0.0,,0.0,True,83.0,1,1,0,1.0986122886681098
,,,0,0.0,0.0,500.0,2.1,,0.0016556291390728,True,82.0,1,0,0,0.0
34.53,0.0,,-129,0.257999999484,0.0,500.0,0.0,,0.0,False,81.0,1,3,0,4.867534450455582
35.29,163.0,,156,0.2264150937293393,240.0,371.0,11.3,,0.0,False,80.0,1,2,3,4.442651256490317
34.92,215.0,0.380043857118281,-142,0.2694497148587292,0.0,527.0,1.7,,0.0,False,79.0,1,3,3,4.962844630259907
35.12,0.0,0.1852025917745392,93,0.3818181808264463,240.0,385.0,17.6,,0.0,False,78.0,1,3,0,4.997212273764115
32.63,55.0,1.3834859353579734,-164,0.3430962335918489,0.0,478.0,10.1,,0.0,False,77.0,1,3,1,5.10594547390058
34.2,2.0,1.2590604962960767,-12,0.0382165603878453,0.0,314.0,21.4,,0.0,True,76.0,1,1,0,2.5649493574615367
,0.0,,0,0.0,0.0,302.0,0.3,,-0.0033057851239668,True,75.0,1,0,0,0.0
33.45,129.0,,220,0.1986754960308758,280.0,302.0,0.7,,-0.0189940204009848,False,74.0,1,2,2,4.110873864173311
35.49,84.0,,-284,0.9272030633578484,200.0,522.0,0.4,,0.0172592336900241,False,73.0,1,3,1,6.184148890937483
28.43,142.0,3.6333088684191552,131,0.6260504175376033,280.0,238.0,0.5,,-0.0175623463294696,False,72.0,1,3,2,5.010635294096256
35.56,147.0,4.096449682346895,-95,0.2574525738280418,0.0,369.0,0.7,,0.0,False,71.0,1,3,2,4.564348191467836
32.45,164.0,3.574665485515152,72,0.759124084820715,280.0,274.0,13.9,,0.0,False,70.0,1,3,3,5.342334251964811
38.72,12.0,3.1350332268308416,-75,0.2167630051538641,0.0,346.0,8.1,,0.0,True,69.0,1,2,1,4.330733340286331
,0.0,,0,0.0,0.0,271.0,10.0,,-0.0082918739635157,True,68.0,1,0,0,0.0
35.06,60.0,,-75,0.7195571929167631,120.0,271.0,0.0,,0.0172592336900241,False,67.0,1,3,1,5.278114659230517
35.42,484.0,,91,0.7602040777540608,240.0,196.0,23.9,,0.0014049877063575,False,66.0,1,3,3,5.010635294096256
