,date,fuel_price
0,2024-01-01,6.04
1,2024-01-02,6.04
2,2024-01-03,6.04
3,2024-01-04,6.04
4,2024-01-05,6.04
5,2024-01-06,6.04
6,2024-01-07,6.05
7,2024-01-08,6.05
8,2024-01-09,6.05
9,2024-01-10,6.05
10,2024-01-11,6.05
11,2024-01-12,6.05
12,2024-01-13,6.05
13,2024-01-14,6.03
14,2024-01-15,6.03
15,2024-01-16,6.03
16,2024-01-17,6.03
17,2024-01-18,6.03
18,2024-01-19,6.03
19,2024-01-20,6.03
20,2024-01-21,5.98
21,2024-01-22,5.98
22,2024-01-23,5.98
23,2024-01-24,5.98
24,2024-01-25,5.98
25,2024-01-26,5.98
26,2024-01-27,5.98
27,2024-01-28,5.98
28,2024-01-29,5.98
29,2024-01-30,5.98
30,2024-01-31,5.98
31,2024-02-01,5.98
32,2024-02-02,5.98
33,2024-02-03,5.98
34,2024-02-04,6.02
35,2024-02-05,6.02
36,2024-02-06,6.02
37,2024-02-07,6.02
38,2024-02-08,6.02
39,2024-02-09,6.02
40,2024-02-10,6.02
41,2024-02-11,6.0
42,2024-02-12,6.0
43,2024-02-13,6.0
44,2024-02-14,6.0
45,2024-02-15,6.0
46,2024-02-16,6.0
47,2024-02-17,6.0
48,2024-02-18,6.0
49,2024-02-19,6.0
50,2024-02-20,6.0
51,2024-02-21,6.0
52,2024-02-22,6.0
53,2024-02-23,6.0
54,2024-02-24,6.0
55,2024-02-25,6.0
56,2024-02-26,6.0
57,2024-02-27,6.0
58,2024-02-28,6.0
59,2024-02-29,6.0
60,2024-03-01,6.0
61,2024-03-02,6.0
62,2024-03-03,5.99
63,2024-03-04,5.99
64,2024-03-05,5.99
65,2024-03-06,5.99
66,2024-03-07,5.99
67,2024-03-08,5.99
68,2024-03-09,5.99
69,2024-03-10,5.99
70,2024-03-11,5.99
71,2024-03-12,5.99
72,2024-03-13,5.99
73,2024-03-14,5.99
74,2024-03-15,5.99
75,2024-03-16,5.99
76,2024-03-17,6.01
77,2024-03-18,6.01
78,2024-03-19,6.01
79,2024-03-20,6.01
80,2024-03-21,6.01
81,2024-03-22,6.01
82,2024-03-23,6.01
83,2024-03-24,6.0
84,2024-03-25,6.0
85,2024-03-26,6.0
86,2024-03-27,6.0
87,2024-03-28,6.0
88,2024-03-29,6.0
89,2024-03-30,6.0
90,2024-03-31,5.98
91,2024-04-01,5.98
92,2024-04-02,5.98
93,2024-04-03,5.98
94,2024-04-04,5.98
95,2024-04-05,5.98
96,2024-04-06,5.98
97,2024-04-07,5.98
98,2024-04-08,5.98
99,2024-04-09,5.98
