time,tavg,prcp
2024-01-01,24.9,0.1
2024-01-02,25.0,0.2
2024-01-03,24.8,4.9
2024-01-04,24.8,0.0
2024-01-05,25.1,0.0
2024-01-06,26.4,0.0
2024-01-07,27.5,2.1
2024-01-08,27.0,0.0
2024-01-09,26.8,11.3
2024-01-10,25.4,1.7
2024-01-11,24.6,17.6
2024-01-12,25.0,10.1
2024-01-13,23.4,21.4
2024-01-14,25.5,0.3
2024-01-15,25.0,0.7
2024-01-16,27.0,0.4
2024-01-17,27.9,0.5
2024-01-18,26.5,0.7
2024-01-19,24.8,13.9
2024-01-20,23.2,8.1
2024-01-21,24.9,10.0
2024-01-22,24.0,0.0
2024-01-23,20.1,23.9
2024-01-24,21.3,0.0
2024-01-25,20.5,0.6
2024-01-26,20.9,0.3
2024-01-27,22.8,0.0
2024-01-28,24.0,1.5
2024-01-29,22.9,0.1
2024-01-30,25.9,0.0
2024-01-31,22.5,1.4
2024-02-01,23.3,1.8
2024-02-02,23.0,8.4
2024-02-03,23.4,1.5
2024-02-04,23.7,8.9
2024-02-05,25.8,0.0
2024-02-06,25.7,0.9
2024-02-07,25.4,6.1
2024-02-08,25.6,0.0
2024-02-09,27.4,0.0
2024-02-10,28.0,0.0
2024-02-11,27.6,0.0
2024-02-12,27.2,0.5
2024-02-13,27.4,0.4
2024-02-14,23.0,20.1
2024-02-15,22.2,18.0
2024-02-16,21.8,13.3
2024-02-17,24.2,1.4
2024-02-18,23.3,0.3
2024-02-19,22.7,1.4
2024-02-20,22.6,25.0
2024-02-21,21.8,5.1
2024-02-22,24.4,5.0
2024-02-23,25.0,5.9
2024-02-24,26.4,4.0
2024-02-25,27.4,0.5
2024-02-26,27.1,0.4
2024-02-27,27.1,0.7
2024-02-28,28.7,0.5
2024-02-29,27.3,14.6
2024-03-01,25.4,7.9
2024-03-02,24.8,0.0
2024-03-03,25.2,0.0
2024-03-04,26.6,0.0
2024-03-05,26.7,5.9
2024-03-06,25.7,1.7
2024-03-07,25.0,3.0
2024-03-08,25.6,2.0
2024-03-09,25.0,4.9
2024-03-10,24.2,1.8
2024-03-11,24.7,0.0
2024-03-12,24.8,0.0
2024-03-13,26.3,0.0
2024-03-14,27.7,0.0
2024-03-15,28.4,0.0
2024-03-16,28.4,0.0
2024-03-17,26.9,13.2
2024-03-18,26.4,4.1
2024-03-19,26.8,9.3
2024-03-20,26.3,0.2
2024-03-21,26.3,12.1
2024-03-22,23.1,8.1
2024-03-23,20.4,0.8
2024-03-24,19.0,29.3
2024-03-25,23.0,0.3
2024-03-26,22.6,2.8
2024-03-27,21.3,2.9
2024-03-28,22.5,4.9
2024-03-29,22.6,0.8
2024-03-30,24.2,0.0
2024-03-31,24.6,0.0
2024-04-01,24.9,0.1
2024-04-02,24.0,2.6
2024-04-03,25.0,0.0
2024-04-04,26.1,0.0
2024-04-05,26.0,0.0
2024-04-06,24.2,0.0
2024-04-07,24.0,0.0
2024-04-08,23.0,4.1
2024-04-09,22.6,3.2
2024-04-10,23.4,1.8
2024-04-11,24.7,0.5
2024-04-12,24.5,0.0
2024-04-13,24.6,2.7
